nameWithOwner,url,createdAt,stargazers,releases,loc,cbo,dit,lcom
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,2012-07-17T16:39:00Z,18452,5,1792,3.0,3.0,0.0
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,18349,42,29252,2.0,10.0,0.0
oracle/graal,https://github.com/oracle/graal,2016-01-14T17:11:35Z,18323,32,1483845,4.0,231.0,1.0
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,2013-02-14T19:03:32Z,18253,40,54183,2.0,7.0,0.0
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,2013-10-08T05:43:03Z,17934,0,10640,3.0,5.0,0.0
dianping/cat,https://github.com/dianping/cat,2012-12-05T02:31:48Z,17585,3,97994,4.0,10.0,1.0
facebook/fresco,https://github.com/facebook/fresco,2015-03-02T09:58:04Z,16920,45,68298,5.0,14.0,0.0
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16813,0,7434,3.0,6.0,0.5
shuzheng/zheng,https://github.com/shuzheng/zheng,2016-10-04T10:07:06Z,16455,0,41742,3.0,2.0,0.0
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,2014-03-16T17:25:43Z,16193,0,2081,1.0,1.0,0.0
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,2012-03-19T17:46:53Z,15867,16,11699,4.0,5.0,3.0
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,15811,13,13150,3.0,8.0,0.0
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,15304,0,2260,4.0,3.0,1.0
keycloak/keycloak,https://github.com/keycloak/keycloak,2013-07-02T13:38:51Z,15226,33,475500,4.0,25.0,1.0
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,15035,0,2790,4.0,3.0,0.0
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,2011-12-16T09:01:45Z,14856,184,2051,4.5,2.0,1.0
prestodb/presto,https://github.com/prestodb/presto,2012-08-09T01:03:37Z,14525,0,662279,6.0,26.0,1.0
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,2014-01-17T16:44:46Z,14390,0,360,5.0,3.0,0.0
baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,2016-08-18T10:06:53Z,14189,24,26370,4.0,7.0,0.0
antlr/antlr4,https://github.com/antlr/antlr4,2010-02-04T01:36:28Z,14024,28,40812,3.0,9.0,0.0
mockito/mockito,https://github.com/mockito/mockito,2012-10-13T20:27:12Z,13751,199,50071,2.0,19.0,0.0
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,2014-10-14T10:26:46Z,13569,58,18981,3.0,10.0,0.0
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,2015-03-08T20:54:00Z,13552,0,1010,2.0,3.0,0.0
orhanobut/logger,https://github.com/orhanobut/logger,2015-03-20T22:30:12Z,13536,16,827,6.0,2.0,0.0
arduino/Arduino,https://github.com/arduino/Arduino,2010-09-17T19:10:36Z,13437,37,25793,2.0,21.0,0.0
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,2011-06-17T14:54:55Z,13435,0,136742,3.0,11.0,1.0
elastic/logstash,https://github.com/elastic/logstash,2010-11-18T01:31:50Z,13322,108,35828,4.0,52.0,1.0
apache/hadoop,https://github.com/apache/hadoop,2014-08-28T07:00:08Z,13317,0,1593536,4.0,77.0,0.0
ben-manes/caffeine,https://github.com/ben-manes/caffeine,2014-12-13T08:45:11Z,13262,65,74865,3.0,22.0,0.0
Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,13257,0,4421,2.0,2.0,0.0
google/tink,https://github.com/google/tink,2014-06-06T16:21:09Z,13048,21,70408,5.0,41.0,1.0
lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,2015-11-02T00:43:13Z,12971,0,2336,2.0,3.0,1.0
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,12815,0,624008,7.0,1464.0,6.0
