nameWithOwner,url,createdAt,stargazers,releases,loc,cbo,dit,lcom
processing/processing,https://github.com/processing/processing,2013-01-24T21:17:22Z,6312,48,109671,2.0,28.0,0.0
koush/ion,https://github.com/koush/ion,2013-05-22T07:41:23Z,6299,0,9443,3.0,23.0,0.0
rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,2010-10-21T08:35:43Z,6281,0,27766,4.0,5.0,0.0
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,2012-09-05T05:56:24Z,6262,3,11856,4.0,4.0,0.0
ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6232,32,4655,4.0,3.0,0.0
rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,2010-09-21T11:41:26Z,6231,0,1343,4.0,1.0,1.0
alibaba/transmittable-thread-local,https://github.com/alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,6171,55,6932,5.0,9.0,1.0
frohoff/ysoserial,https://github.com/frohoff/ysoserial,2015-01-28T07:13:55Z,6156,1,3851,3.0,5.0,1.0
ikew0ng/SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6135,0,1635,3.0,3.0,3.0
mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,2012-01-12T11:43:49Z,6131,6,5742,3.0,5.0,0.0
Alluxio/alluxio,https://github.com/Alluxio/alluxio,2012-12-21T17:43:46Z,6126,59,236352,5.0,68.0,1.0
rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,2014-10-30T10:07:23Z,6115,19,3385,2.0,2.0,0.0
sshahine/JFoenix,https://github.com/sshahine/JFoenix,2015-09-08T14:04:24Z,6073,0,24546,4.0,12.0,1.0
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,2011-03-07T13:41:46Z,6071,0,28944,4.0,8.0,1.0
daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6040,3,380,0.5,2.0,0.0
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,2012-01-30T01:35:01Z,6029,0,60355,5.0,72.0,1.0
rey5137/material,https://github.com/rey5137/material,2014-12-09T12:07:32Z,6028,10,27346,3.0,9.0,1.0
pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,2014-07-04T08:42:20Z,6025,0,1923,3.0,3.0,1.0
google/physical-web,https://github.com/google/physical-web,2014-09-30T18:32:14Z,6023,17,7481,3.0,3.0,0.0
wasabeef/richeditor-android,https://github.com/wasabeef/richeditor-android,2015-03-30T16:19:20Z,5998,0,804,2.0,3.0,0.0
singwhatiwanna/dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,2014-03-30T11:51:00Z,5995,0,2620,3.0,4.0,0.0
mapstruct/mapstruct,https://github.com/mapstruct/mapstruct,2012-05-28T12:42:42Z,5984,26,85249,2.0,11.0,0.0
apache/zeppelin,https://github.com/apache/zeppelin,2015-03-25T07:00:06Z,5964,0,195366,3.0,8.0,1.0
wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,2015-10-28T10:56:04Z,5958,9,12561,3.0,6.0,2.0
antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,2014-04-02T05:42:20Z,5957,0,274,2.0,2.0,0.0
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,2013-06-22T22:28:53Z,5939,62,14340,5.0,4.0,0.0
gzu-liyujiang/AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,2015-10-21T14:21:16Z,5878,54,13186,3.0,6.0,0.0
lightbend/config,https://github.com/lightbend/config,2011-12-06T08:02:29Z,5861,0,13149,3.0,60.0,0.0
prolificinteractive/material-calendarview,https://github.com/prolificinteractive/material-calendarview,2015-02-09T22:31:56Z,5848,22,3658,4.0,4.0,0.0
JesusFreke/smali,https://github.com/JesusFreke/smali,2012-09-23T19:51:16Z,5813,0,46762,4.0,26.0,1.0
springfox/springfox,https://github.com/springfox/springfox,2012-05-06T06:38:57Z,5789,12,32115,3.0,4.0,0.0
google/grafika,https://github.com/google/grafika,2013-12-19T18:36:53Z,5772,1,10035,5.0,5.0,0.0
graphql-java/graphql-java,https://github.com/graphql-java/graphql-java,2015-07-06T06:52:20Z,5761,49,57998,5.0,7.0,1.0
springside/springside4,https://github.com/springside/springside4,2012-02-23T08:39:03Z,5758,3,12842,2.0,6.0,1.0
lets-blade/blade,https://github.com/lets-blade/blade,2015-06-10T03:35:49Z,5752,9,15300,3.0,5.0,0.0
JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,5740,0,1937,2.5,3.0,3.0
haifengl/smile,https://github.com/haifengl/smile,2014-11-20T16:28:12Z,5694,24,96650,4.0,22.0,1.0
JakeWharton/u2020,https://github.com/JakeWharton/u2020,2013-11-14T11:58:23Z,5688,0,4806,4.0,7.0,0.5
junit-team/junit5,https://github.com/junit-team/junit5,2015-01-11T19:06:10Z,5656,59,77147,3.0,20.0,0.0
daimajia/AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5644,5,3813,2.0,6.0,1.0
dmytrodanylyk/circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5644,2,1429,2.0,3.0,0.0
robolectric/robolectric,https://github.com/robolectric/robolectric,2010-08-28T00:28:25Z,5609,89,182102,4.0,24.0,0.0
amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView,2012-08-14T19:07:36Z,5608,13,2086,5.0,4.0,0.0
nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,2013-03-19T11:59:23Z,5603,14,5697,5.0,6.0,0.0
changmingxie/tcc-transaction,https://github.com/changmingxie/tcc-transaction,2015-12-05T04:27:53Z,5589,6,22392,3.0,6.0,1.0
hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout,2015-08-28T09:32:31Z,5565,0,810,3.0,3.0,0.0
knightliao/disconf,https://github.com/knightliao/disconf,2014-05-30T09:39:27Z,5547,12,14009,3.0,7.0,0.0
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,2012-03-11T18:29:18Z,5527,16,2112,3.0,3.0,0.0
sockeqwe/mosby,https://github.com/sockeqwe/mosby,2015-03-25T00:59:19Z,5494,15,17138,3.0,10.0,0.0
hanks-zyh/HTextView,https://github.com/hanks-zyh/HTextView,2015-12-19T16:34:59Z,5478,0,3076,2.0,3.0,0.0
raphw/byte-buddy,https://github.com/raphw/byte-buddy,2013-11-25T19:38:03Z,5455,263,273951,4.0,43.0,0.0
facebookarchive/rebound,https://github.com/facebookarchive/rebound,2013-10-11T01:12:37Z,5455,10,4095,2.0,3.0,0.0
dm77/barcodescanner,https://github.com/dm77/barcodescanner,2014-02-24T21:14:09Z,5454,6,2796,2.0,5.0,0.0
microg/GmsCore,https://github.com/microg/GmsCore,2014-04-23T19:28:47Z,5426,29,37679,4.0,14.0,0.0
wiremock/wiremock,https://github.com/wiremock/wiremock,2011-10-09T20:27:24Z,5414,9,42399,3.0,8.0,0.0
evernote/android-job,https://github.com/evernote/android-job,2015-08-20T19:36:54Z,5387,31,10693,4.0,30.0,1.0
jgilfelt/SystemBarTint,https://github.com/jgilfelt/SystemBarTint,2013-11-17T12:35:05Z,5383,3,807,7.0,3.0,1.0
journeyapps/zxing-android-embedded,https://github.com/journeyapps/zxing-android-embedded,2012-11-28T16:36:39Z,5364,9,5169,4.0,5.0,1.0
btraceio/btrace,https://github.com/btraceio/btrace,2014-08-28T18:58:24Z,5361,30,39576,4.0,9.0,0.0
wasabeef/Blurry,https://github.com/wasabeef/Blurry,2015-07-23T14:12:08Z,5359,0,636,3.5,1.0,0.0
jOOQ/jOOQ,https://github.com/jOOQ/jOOQ,2011-04-17T10:43:33Z,5344,0,248131,7.0,36.0,4.0
scribejava/scribejava,https://github.com/scribejava/scribejava,2010-09-05T19:11:40Z,5335,9,12671,3.0,6.0,1.0
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,2010-10-04T16:15:52Z,5320,16,827763,5.0,30.0,1.0
XRecyclerView/XRecyclerView,https://github.com/XRecyclerView/XRecyclerView,2015-11-18T08:14:22Z,5318,0,5151,2.0,4.0,0.0
evant/gradle-retrolambda,https://github.com/evant/gradle-retrolambda,2013-08-05T02:09:58Z,5317,37,623,3.0,2.0,0.0
commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus,2012-03-12T14:12:06Z,5309,36,71119,4.0,10.0,0.0
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast,2012-03-21T12:25:18Z,5275,182,1036520,4.0,580.0,1.0
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,2012-10-19T08:40:49Z,5273,0,6501,3.0,4.0,0.0
lucasr/twoway-view,https://github.com/lucasr/twoway-view,2013-01-18T20:55:23Z,5250,0,3688,4.0,6.0,1.0
h6ah4i/android-advancedrecyclerview,https://github.com/h6ah4i/android-advancedrecyclerview,2015-01-24T16:14:39Z,5246,1,20692,4.0,25.0,0.0
motianhuo/wechat,https://github.com/motianhuo/wechat,2015-05-25T02:33:37Z,5245,0,34426,3.0,6.0,0.0
Clans/FloatingActionButton,https://github.com/Clans/FloatingActionButton,2015-03-21T12:36:16Z,5233,14,2805,2.0,5.0,0.0
gephi/gephi,https://github.com/gephi/gephi,2011-10-22T03:14:46Z,5228,19,125020,3.0,20.0,0.0
xxv/android-lifecycle,https://github.com/xxv/android-lifecycle,2014-04-18T14:26:22Z,5217,0,481,7.5,2.0,190.0
thinkaurelius/titan,https://github.com/thinkaurelius/titan,2012-02-25T22:53:53Z,5212,0,71163,3.0,7.0,1.0
Yalantis/Side-Menu.Android,https://github.com/Yalantis/Side-Menu.Android,2015-01-13T11:11:27Z,5212,2,449,2.0,2.0,0.0
TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary,2015-08-20T16:03:53Z,5209,25,14602,3.0,5.0,0.0
square/otto,https://github.com/square/otto,2012-06-27T19:06:49Z,5191,0,1987,1.0,5.0,0.0
Karumi/Dexter,https://github.com/Karumi/Dexter,2015-11-17T13:14:43Z,5187,33,2197,3.0,5.0,0.0
danikula/AndroidVideoCache,https://github.com/danikula/AndroidVideoCache,2015-04-01T11:25:52Z,5158,20,3217,3.0,4.0,1.0
vavr-io/vavr,https://github.com/vavr-io/vavr,2014-01-30T14:07:25Z,5146,16,64395,5.0,9.0,1.0
auth0/java-jwt,https://github.com/auth0/java-jwt,2014-03-07T15:06:11Z,5143,43,8775,3.5,6.0,1.0
facebook/shimmer-android,https://github.com/facebook/shimmer-android,2015-02-27T22:25:22Z,5140,5,885,9.0,3.0,10.0
socketio/socket.io-client-java,https://github.com/socketio/socket.io-client-java,2013-04-28T17:04:05Z,5084,5,5646,1.0,4.0,0.0
careercup/ctci,https://github.com/careercup/ctci,2013-03-21T23:01:01Z,5077,0,11244,2.0,5.0,1.0
mybatis/generator,https://github.com/mybatis/generator,2013-02-10T11:14:50Z,5050,11,72610,5.0,7.0,3.0
wequick/Small,https://github.com/wequick/Small,2015-11-27T11:37:20Z,5021,25,7726,2.0,7.0,0.0
Trinea/android-common,https://github.com/Trinea/android-common,2012-06-19T07:49:46Z,5012,1,6671,3.0,4.0,1.0
frogermcs/InstaMaterial,https://github.com/frogermcs/InstaMaterial,2014-11-10T18:56:49Z,5010,1,2223,2.0,4.0,0.0
huanghongxun/HMCL,https://github.com/huanghongxun/HMCL,2015-06-22T08:06:03Z,4988,188,56713,4.0,13.0,1.0
spring-attic/spring-mvc-showcase,https://github.com/spring-attic/spring-mvc-showcase,2011-06-03T15:36:55Z,4987,0,1281,5.0,3.0,0.0
orhanobut/dialogplus,https://github.com/orhanobut/dialogplus,2014-12-12T09:24:44Z,4986,9,1047,3.0,2.0,0.0
google/google-authenticator,https://github.com/google/google-authenticator,2014-10-08T17:54:27Z,4978,0,3935,2.0,9.0,1.0
traex/RippleEffect,https://github.com/traex/RippleEffect,2014-10-14T13:32:51Z,4949,0,504,2.0,2.0,0.0
lettuce-io/lettuce-core,https://github.com/lettuce-io/lettuce-core,2014-05-10T13:08:46Z,4924,105,79798,4.0,20.0,0.0
jeremylong/DependencyCheck,https://github.com/jeremylong/DependencyCheck,2012-09-03T20:43:30Z,4899,49,39474,5.0,8.0,3.0
google/google-java-format,https://github.com/google/google-java-format,2015-05-11T20:38:28Z,4885,18,12431,3.5,6.0,1.0
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,2011-05-16T16:49:57Z,4874,42,91497,6.0,17.0,10.0
andkulikov/Transitions-Everywhere,https://github.com/andkulikov/Transitions-Everywhere,2014-10-15T03:37:03Z,4858,23,9485,5.0,11.0,0.0
mcxiaoke/packer-ng-plugin,https://github.com/mcxiaoke/packer-ng-plugin,2015-11-24T04:08:08Z,4822,1,1776,2.0,4.0,1.0
claritylab/lucida,https://github.com/claritylab/lucida,2014-05-13T17:12:49Z,4819,0,23221,5.0,5.0,1.0
OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,2010-08-27T02:05:20Z,4800,26,103458,4.0,16.0,0.0
apache/hbase,https://github.com/apache/hbase,2014-05-23T07:00:07Z,4792,31,906732,5.0,106.0,1.0
youtube/api-samples,https://github.com/youtube/api-samples,2013-12-09T18:41:41Z,4784,0,2541,7.0,1.0,0.0
etsy/AndroidStaggeredGrid,https://github.com/etsy/AndroidStaggeredGrid,2013-12-09T19:43:45Z,4775,7,4010,3.0,7.0,0.5
apache/camel,https://github.com/apache/camel,2009-05-21T00:25:36Z,4760,0,1575775,3.0,444.0,0.0
saiwu-bigkoo/Android-ConvenientBanner,https://github.com/saiwu-bigkoo/Android-ConvenientBanner,2014-12-23T06:12:33Z,4750,0,848,3.0,3.0,1.0
AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod,2012-07-31T10:25:08Z,4740,48,48000,5.0,8.0,1.0
spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples,2014-01-30T15:42:43Z,4731,0,50100,2.0,4.0,0.0
pardom-zz/ActiveAndroid,https://github.com/pardom-zz/ActiveAndroid,2012-11-15T18:10:45Z,4708,0,3158,3.0,6.0,3.0
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,2014-07-11T15:46:12Z,4699,3,7430,6.0,5.0,0.0
apache/hive,https://github.com/apache/hive,2009-05-21T02:31:01Z,4698,0,1994640,4.0,47.0,1.0
hongyangAndroid/baseAdapter,https://github.com/hongyangAndroid/baseAdapter,2015-08-03T02:55:51Z,4696,0,1563,3.0,3.0,0.0
gabrielemariotti/cardslib,https://github.com/gabrielemariotti/cardslib,2013-09-20T21:57:19Z,4695,27,32257,4.0,20.0,0.0
deathmarine/Luyten,https://github.com/deathmarine/Luyten,2013-07-11T10:57:28Z,4676,17,6750,1.0,11.0,0.0
jankotek/mapdb,https://github.com/jankotek/mapdb,2012-08-17T15:28:54Z,4662,0,20198,2.0,54.0,0.0
wdullaer/MaterialDateTimePicker,https://github.com/wdullaer/MaterialDateTimePicker,2015-01-03T19:41:03Z,4661,54,7536,5.0,3.0,1.0
spring-attic/spring-security-oauth,https://github.com/spring-attic/spring-security-oauth,2011-07-26T18:08:49Z,4631,0,35204,4.0,24.0,0.0
kyleduo/SwitchButton,https://github.com/kyleduo/SwitchButton,2014-09-09T07:20:43Z,4623,0,1549,2.0,3.0,0.0
square/sqlbrite,https://github.com/square/sqlbrite,2015-02-19T04:38:37Z,4599,9,3329,2.0,6.0,0.0
javaparser/javaparser,https://github.com/javaparser/javaparser,2011-10-30T14:03:44Z,4591,40,119976,5.0,20.0,1.0
reactive-streams/reactive-streams-jvm,https://github.com/reactive-streams/reactive-streams-jvm,2014-02-28T13:16:15Z,4587,0,15248,3.0,7.0,0.0
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,2010-08-29T08:20:01Z,4582,21,45363,6.0,24.0,3.0
cglib/cglib,https://github.com/cglib/cglib,2014-03-29T13:48:30Z,4579,15,17670,1.0,15.0,0.0
chentao0707/SimplifyReader,https://github.com/chentao0707/SimplifyReader,2015-08-17T08:22:53Z,4574,0,34709,2.0,7.0,0.0
orientechnologies/orientdb,https://github.com/orientechnologies/orientdb,2012-12-09T20:33:47Z,4570,198,492712,5.0,7.0,1.0
pili-engineering/PLDroidPlayer,https://github.com/pili-engineering/PLDroidPlayer,2015-06-02T04:41:29Z,4565,42,5878,2.0,3.0,0.0
coobird/thumbnailator,https://github.com/coobird/thumbnailator,2015-07-25T05:38:33Z,4558,0,19311,2.0,7.0,0.0
Flipboard/bottomsheet,https://github.com/Flipboard/bottomsheet,2015-04-23T17:37:32Z,4545,10,2578,3.0,4.0,0.0
jdamcd/android-crop,https://github.com/jdamcd/android-crop,2014-03-13T10:24:43Z,4538,6,1676,1.0,3.0,0.0
bitcoinj/bitcoinj,https://github.com/bitcoinj/bitcoinj,2013-11-19T04:33:23Z,4526,1,67941,4.0,44.0,1.0
JakeWharton/NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids,2011-12-08T19:46:37Z,4512,0,7585,2.0,4.0,0.0
meefik/linuxdeploy,https://github.com/meefik/linuxdeploy,2012-08-21T04:49:14Z,4507,37,2693,5.0,2.0,3.0
puniverse/quasar,https://github.com/puniverse/quasar,2013-03-27T14:51:24Z,4490,18,52770,2.0,13.0,0.0
zhanglei-workspace/shopping-management-system,https://github.com/zhanglei-workspace/shopping-management-system,2015-11-16T12:53:21Z,4490,0,5353,3.0,4.0,3.0
firebase/FirebaseUI-Android,https://github.com/firebase/FirebaseUI-Android,2015-07-09T17:31:09Z,4486,65,13829,7.0,17.0,1.0
alibaba/dexposed,https://github.com/alibaba/dexposed,2015-06-30T02:59:16Z,4455,0,2414,2.0,6.0,0.0
apache/pinot,https://github.com/apache/pinot,2014-05-19T23:27:48Z,4453,16,358477,5.0,32.0,1.0
square/android-times-square,https://github.com/square/android-times-square,2013-01-30T20:28:27Z,4441,0,2286,4.0,4.0,0.0
castorflex/SmoothProgressBar,https://github.com/castorflex/SmoothProgressBar,2013-11-27T20:32:16Z,4438,9,2208,3.0,3.0,0.0
brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB,2010-04-19T20:52:11Z,4435,55,22046,3.0,5.0,0.0
ronmamo/reflections,https://github.com/ronmamo/reflections,2013-04-16T16:19:26Z,4415,3,4931,1.0,5.0,0.0
Netflix/ribbon,https://github.com/Netflix/ribbon,2013-01-15T01:08:04Z,4398,41,21788,2.0,6.0,0.0
apache/ignite,https://github.com/apache/ignite,2015-02-19T08:00:05Z,4391,0,1147971,3.0,59.0,0.0
TeamAmaze/AmazeFileManager,https://github.com/TeamAmaze/AmazeFileManager,2014-07-14T19:47:53Z,4370,65,32873,4.0,10.0,0.0
yasserg/crawler4j,https://github.com/yasserg/crawler4j,2011-12-31T22:49:18Z,4367,3,4736,4.0,3.0,1.0
CellularPrivacy/Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,2013-11-23T10:04:14Z,4360,48,12171,3.0,4.0,0.0
citerus/dddsample-core,https://github.com/citerus/dddsample-core,2015-01-31T23:21:37Z,4355,0,4736,4.0,4.0,0.0
j-easy/easy-rules,https://github.com/j-easy/easy-rules,2013-03-10T14:38:26Z,4319,10,4857,4.0,5.0,1.0
mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley,2013-05-21T05:35:26Z,4314,0,4965,3.0,31.0,0.0
bingoogolapple/BGARefreshLayout-Android,https://github.com/bingoogolapple/BGARefreshLayout-Android,2015-05-28T16:17:00Z,4296,4,5450,3.0,4.0,1.0
aporter/coursera-android,https://github.com/aporter/coursera-android,2014-01-05T09:55:31Z,4281,0,18164,4.0,5.0,0.0
cjlin1/libsvm,https://github.com/cjlin1/libsvm,2013-09-10T14:32:07Z,4280,0,3152,1.5,5.0,0.0
airbnb/DeepLinkDispatch,https://github.com/airbnb/DeepLinkDispatch,2015-06-11T21:16:48Z,4270,22,8549,5.0,2.0,0.0
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis,2014-11-03T04:51:06Z,4261,0,39118,2.0,7.0,0.0
bisq-network/bisq,https://github.com/bisq-network/bisq,2014-03-12T09:42:29Z,4257,130,169450,4.0,18.0,1.0
azkaban/azkaban,https://github.com/azkaban/azkaban,2012-10-18T01:34:53Z,4225,48,92420,4.0,7.0,1.0
grantland/android-autofittextview,https://github.com/grantland/android-autofittextview,2011-02-14T06:00:52Z,4221,1,470,4.0,2.0,1.5
stleary/JSON-java,https://github.com/stleary/JSON-java,2010-12-21T17:46:09Z,4218,17,10445,1.0,5.0,1.0
JSQLParser/JSqlParser,https://github.com/JSQLParser/JSqlParser,2011-06-23T22:51:52Z,4214,30,33084,4.0,5.0,3.0
rstudio/rstudio,https://github.com/rstudio/rstudio,2010-12-07T19:10:25Z,4208,0,217921,3.0,13.0,0.0
react-native-webrtc/react-native-webrtc,https://github.com/react-native-webrtc/react-native-webrtc,2015-09-27T10:57:30Z,4200,60,3681,3.0,2.0,0.0
phishman3579/java-algorithms-implementation,https://github.com/phishman3579/java-algorithms-implementation,2013-11-20T03:30:19Z,4195,0,31758,3.0,41.0,0.0
pmd/pmd,https://github.com/pmd/pmd,2012-07-11T18:03:00Z,4192,85,120946,4.0,28.0,1.0
querydsl/querydsl,https://github.com/querydsl/querydsl,2011-08-05T06:46:32Z,4172,34,98628,3.0,23.0,0.0
chewiebug/GCViewer,https://github.com/chewiebug/GCViewer,2011-10-23T09:01:04Z,4172,5,20257,4.0,24.0,1.0
Jacksgong/JKeyboardPanelSwitch,https://github.com/Jacksgong/JKeyboardPanelSwitch,2015-07-01T17:42:01Z,4170,14,1736,3.0,2.0,0.0
line/armeria,https://github.com/line/armeria,2015-11-16T04:04:01Z,4160,213,229368,5.0,24.0,0.0
bingoogolapple/BGABanner-Android,https://github.com/bingoogolapple/BGABanner-Android,2014-10-25T17:15:18Z,4140,0,2123,3.0,3.0,1.0
dreamhead/moco,https://github.com/dreamhead/moco,2012-10-18T09:09:51Z,4137,0,16739,5.0,7.0,1.0
ongakuer/CircleIndicator,https://github.com/ongakuer/CircleIndicator,2014-07-30T14:02:56Z,4130,7,1712,5.0,3.0,1.0
LWJGL/lwjgl3,https://github.com/LWJGL/lwjgl3,2012-12-23T15:40:04Z,4128,16,819357,6.0,18.0,66.0
CalebFenton/simplify,https://github.com/CalebFenton/simplify,2014-01-16T05:14:02Z,4124,9,21150,8.0,4.0,0.0
pedrovgs/AndroidWiFiADB,https://github.com/pedrovgs/AndroidWiFiADB,2015-10-18T21:58:45Z,4123,8,1096,2.0,5.0,0.0
mock-server/mockserver,https://github.com/mock-server/mockserver,2013-02-26T06:09:52Z,4063,0,65134,5.0,7.0,1.0
bytedeco/javacpp,https://github.com/bytedeco/javacpp,2014-04-21T12:47:21Z,4062,9,25716,4.0,13.0,0.0
Fuzion24/JustTrustMe,https://github.com/Fuzion24/JustTrustMe,2014-07-24T23:45:05Z,4057,1,556,1.5,2.0,0.0
apache/shiro,https://github.com/apache/shiro,2009-08-29T08:00:17Z,4053,0,35910,3.0,11.0,1.0
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper,2012-02-18T19:57:38Z,4051,39,94218,4.0,8.0,0.0
Yalantis/Phoenix,https://github.com/Yalantis/Phoenix,2015-01-12T14:11:20Z,4041,1,976,2.5,4.0,0.0
Freeyourgadget/Gadgetbridge,https://github.com/Freeyourgadget/Gadgetbridge,2015-01-05T23:19:03Z,4031,0,125150,3.0,21.0,0.0
Manabu-GT/ExpandableTextView,https://github.com/Manabu-GT/ExpandableTextView,2014-05-17T19:40:15Z,4021,4,552,4.0,5.0,0.0
makovkastar/FloatingActionButton,https://github.com/makovkastar/FloatingActionButton,2014-07-22T13:29:55Z,4019,0,1014,3.0,6.0,1.0
DiUS/java-faker,https://github.com/DiUS/java-faker,2011-06-06T01:01:21Z,4019,0,6710,4.0,2.0,0.0
BoltsFramework/Bolts-Android,https://github.com/BoltsFramework/Bolts-Android,2014-01-30T04:58:14Z,4014,11,5144,2.0,4.0,0.0
powermock/powermock,https://github.com/powermock/powermock,2014-05-28T07:53:53Z,3982,16,32976,2.0,7.0,0.0
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin,2013-08-30T14:44:38Z,3982,0,2960,3.0,4.0,1.0
traccar/traccar,https://github.com/traccar/traccar,2012-04-16T08:33:49Z,3975,42,62001,4.0,5.0,0.0
oblac/jodd,https://github.com/oblac/jodd,2012-09-07T20:26:48Z,3962,37,26882,3.0,24.0,0.0
xcltapestry/XCL-Charts,https://github.com/xcltapestry/XCL-Charts,2014-06-09T15:44:50Z,3949,0,23397,3.0,5.0,4.0
killbill/killbill,https://github.com/killbill/killbill,2012-10-21T20:55:05Z,3948,136,146482,6.0,8.0,1.0
alibaba/jstorm,https://github.com/alibaba/jstorm,2013-09-03T03:53:16Z,3939,22,296316,4.0,67.0,1.0
mik3y/usb-serial-for-android,https://github.com/mik3y/usb-serial-for-android,2013-06-30T23:17:45Z,3933,24,6759,6.0,5.0,1.0
oldmanpushcart/greys-anatomy,https://github.com/oldmanpushcart/greys-anatomy,2012-11-21T19:39:35Z,3924,0,10774,3.0,4.0,0.0
orhanobut/hawk,https://github.com/orhanobut/hawk,2015-02-19T22:25:23Z,3919,22,834,2.0,2.0,1.0
JoanZapata/android-iconify,https://github.com/JoanZapata/android-iconify,2013-06-12T11:42:01Z,3910,0,909,3.0,2.0,1.0
failsafe-lib/failsafe,https://github.com/failsafe-lib/failsafe,2015-06-30T00:56:39Z,3897,0,9996,6.0,12.0,1.0
databricks/learning-spark,https://github.com/databricks/learning-spark,2014-06-16T04:47:54Z,3837,0,2295,2.0,2.0,0.0
code4craft/tiny-spring,https://github.com/code4craft/tiny-spring,2014-01-10T16:37:57Z,3836,0,1543,2.0,3.0,0.0
jitsi/jitsi,https://github.com/jitsi/jitsi,2013-04-24T17:37:20Z,3825,7,196525,3.0,103.0,0.0
MiguelCatalan/MaterialSearchView,https://github.com/MiguelCatalan/MaterialSearchView,2015-09-14T17:13:46Z,3819,6,1361,2.0,3.0,1.0
oracle/opengrok,https://github.com/oracle/opengrok,2013-01-07T11:49:18Z,3818,213,67631,3.0,7.0,1.0
zzhoujay/RichText,https://github.com/zzhoujay/RichText,2015-07-21T09:36:01Z,3803,0,5185,2.0,5.0,0.0
roboguice/roboguice,https://github.com/roboguice/roboguice,2012-08-12T20:37:19Z,3794,0,74026,3.0,41.0,0.0
google/open-location-code,https://github.com/google/open-location-code,2014-09-30T18:26:35Z,3786,5,2250,3.0,3.0,0.0
jboss-javassist/javassist,https://github.com/jboss-javassist/javassist,2013-05-24T08:31:32Z,3775,21,82714,1.0,19.0,0.0
lzyzsd/CircleProgress,https://github.com/lzyzsd/CircleProgress,2014-10-30T16:14:42Z,3750,0,1451,6.0,4.0,1.0
timehop/sticky-headers-recyclerview,https://github.com/timehop/sticky-headers-recyclerview,2014-10-03T01:57:46Z,3749,0,808,2.0,3.0,0.0
liquibase/liquibase,https://github.com/liquibase/liquibase,2011-07-08T20:08:20Z,3738,83,94531,4.0,7.0,3.0
yanzhenjie/NoHttp,https://github.com/yanzhenjie/NoHttp,2015-07-29T06:11:12Z,3711,0,8428,3.0,4.0,1.0
apache/calcite,https://github.com/apache/calcite,2014-06-25T07:00:07Z,3710,0,319191,5.0,72.0,1.0
rovo89/XposedInstaller,https://github.com/rovo89/XposedInstaller,2012-04-02T20:33:05Z,3685,0,8980,2.0,6.0,0.0
