nameWithOwner,url,createdAt,stargazers,releases
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,12639,52
facebook/stetho,https://github.com/facebook/stetho,2015-01-22T22:34:10Z,12623,13
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,2011-10-22T16:15:14Z,12561,8
Netflix/zuul,https://github.com/Netflix/zuul,2013-03-13T18:53:57Z,12479,5
apache/druid,https://github.com/apache/druid,2012-10-23T19:08:07Z,12458,53
daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,12277,18
java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,2015-03-25T05:28:41Z,12268,18
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12244,9
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,2015-03-29T17:56:31Z,12200,2
google/guice,https://github.com/google/guice,2014-05-28T23:18:53Z,11811,15
Netflix/eureka,https://github.com/Netflix/eureka,2012-07-26T22:23:07Z,11730,146							
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,11578,11							
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,2014-07-25T11:39:13Z,11561,99														
neo4j/neo4j,https://github.com/neo4j/neo4j,2012-11-12T08:46:15Z,11168,72							
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11132,0							
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,2012-01-06T08:48:03Z,11132,0							
apache/zookeeper,https://github.com/apache/zookeeper,2009-03-27T15:41:56Z,11121,0							
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,11100,40							
redis/jedis,https://github.com/redis/jedis,2010-06-11T13:04:43Z,10954,74							
DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,2015-11-25T07:30:08Z,10843,0						
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10813,4						
code4craft/webmagic,https://github.com/code4craft/webmagic,2013-04-23T12:57:36Z,10755,23						
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,2015-12-22T11:17:16Z,10745,65						
mission-peace/interview,https://github.com/mission-peace/interview,2014-07-20T21:27:31Z,10701,0						
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,2015-03-16T09:13:07Z,10687,6						
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,2011-02-20T03:25:07Z,10645,3						
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,2015-06-03T16:55:01Z,10578,308						
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,10553,0						
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10426,11						
grpc/grpc-java,https://github.com/grpc/grpc-java,2014-12-08T19:00:00Z,10406,137						
questdb/questdb,https://github.com/questdb/questdb,2014-04-28T23:29:15Z,10226,62						
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10190,0
square/javapoet,https://github.com/square/javapoet,2013-02-01T16:56:30Z,10101,0
google/auto,https://github.com/google/auto,2013-05-22T21:41:56Z,10043,57
jhy/jsoup,https://github.com/jhy/jsoup,2009-12-19T01:29:58Z,10023,9
apereo/cas,https://github.com/apereo/cas,2011-09-09T01:36:42Z,10009,240
clojure/clojure,https://github.com/clojure/clojure,2010-06-29T20:03:33Z,9901,0
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,2015-01-09T10:33:29Z,9747,0
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9697,1
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,2015-12-22T18:05:53Z,9638,12
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9623,8
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,9619,14
react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,2015-04-01T00:54:40Z,9615,144
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9610,0
perwendel/spark,https://github.com/perwendel/spark,2011-05-05T11:52:05Z,9465,0
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9453,8
pockethub/PocketHub,https://github.com/pockethub/PocketHub,2011-09-08T16:52:50Z,9418,1
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,9406,5
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9376,7
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,2012-10-15T02:22:48Z,9332,45
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,2013-01-30T01:37:46Z,9313,57
Activiti/Activiti,https://github.com/Activiti/Activiti,2012-09-13T11:34:43Z,9266,210
lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,2015-02-26T12:10:58Z,9266,0
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,2014-02-02T00:43:47Z,9066,146
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9054,3
jwtk/jjwt,https://github.com/jwtk/jjwt,2014-09-13T01:06:24Z,8907,0
nathanmarz/storm,https://github.com/nathanmarz/storm,2011-09-17T07:55:13Z,8884,0
stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,8883,12
android/testing-samples,https://github.com/android/testing-samples,2014-10-11T03:51:27Z,8767,0
chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,2011-11-29T09:59:56Z,8748,0
OpenFeign/feign,https://github.com/OpenFeign/feign,2013-06-26T23:28:16Z,8665,28
resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,2015-06-03T09:21:01Z,8632,32
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8623,0
chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8597,4
FreelanderFreelander/Android_Data,https://github.com/Freelander/Android_Data,2015-04-04T01:37:44Z,8595,0
Freelander/Android_Data,https://github.com/Freelander/Android_Data,2015-04-04T01:37:44Z,8595,0
junit-team/junit4,https://github.com/junit-team/junit4,2009-01-13T03:41:26Z,8416,13
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,2011-01-19T19:52:29Z,8362,137
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,2013-08-08T16:37:22Z,8327,0
shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8201,4
florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,2015-04-24T17:53:15Z,8189,11
signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,2013-12-09T07:10:36Z,8116,0
react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,7937,115
guolindev/LitePal,https://github.com/guolindev/LitePal,2013-02-20T03:20:07Z,7934,0
